C1 BodySize,C1 WicksUp,C1 WicksDown,C1 CandleType,C2 BodySize,C2 WicksUp,C2 WicksDown,C2 CandleType,C3 BodySize,C3 WicksUp,C3 WicksDown,C3 CandleType,P0ICTION OUTPUT
0.031,0.34,0.1,1,0.307,0.334,0.35,0,0.322,0.28,0.278,0,0
0.307,0.334,0.35,0,0.322,0.28,0.278,0,0.391,0.15,0.04,0,1
0.322,0.28,0.278,0,0.391,0.15,0.04,0,0.337,0.359,0.023,1,1
0.391,0.15,0.04,0,0.337,0.359,0.023,1,0.24,0.031,0.127,1,0
0.337,0.359,0.023,1,0.24,0.031,0.127,1,0.158,0.122,0.27,0,0
0.24,0.031,0.127,1,0.158,0.122,0.27,0,0.4,0.03,0.034,0,1
0.158,0.122,0.27,0,0.4,0.03,0.034,0,0.564,0.049,0.057,1,0
0.4,0.03,0.034,0,0.564,0.049,0.057,1,0.22,0.169,0.3,0,0
0.564,0.049,0.057,1,0.22,0.169,0.3,0,0.022,0.211,0.098,0,0
0.22,0.169,0.3,0,0.022,0.211,0.098,0,0.111,0.22,0.13,0,1
0.022,0.211,0.098,0,0.111,0.22,0.13,0,0.269,0.081,0.041,1,1
0.111,0.22,0.13,0,0.269,0.081,0.041,1,0.51,0.001,0,1,0
0.269,0.081,0.041,1,0.51,0.001,0,1,0.38,0.011,0.03,0,1
0.51,0.001,0,1,0.38,0.011,0.03,0,0.581,0.039,0.08,1,1
0.38,0.011,0.03,0,0.581,0.039,0.08,1,0.34,0.1,0.09,1,1
0.581,0.039,0.08,1,0.34,0.1,0.09,1,0.514,0,0.107,1,0
0.34,0.1,0.09,1,0.514,0,0.107,1,0.02,0.109,0.181,0,0
0.514,0,0.107,1,0.02,0.109,0.181,0,0.14,0.086,0.261,0,1
0.02,0.109,0.181,0,0.14,0.086,0.261,0,0.391,0.06,0.123,1,1
0.14,0.086,0.261,0,0.391,0.06,0.123,1,0.981,0.03,0.22,1,0
0.391,0.06,0.123,1,0.981,0.03,0.22,1,0.22,0,0.533,0,0
0.981,0.03,0.22,1,0.22,0,0.533,0,0.031,0.12,0.28,0,0
0.22,0,0.533,0,0.031,0.12,0.28,0,0.06,0.207,0.454,0,0
0.031,0.12,0.28,0,0.06,0.207,0.454,0,0.17,0,0.221,0,1
0.06,0.207,0.454,0,0.17,0,0.221,0,0.247,0.01,0.22,1,1
0.17,0,0.221,0,0.247,0.01,0.22,1,0.174,0.3,0.037,1,1
0.247,0.01,0.22,1,0.174,0.3,0.037,1,0.337,0.01,0.05,1,1
0.174,0.3,0.037,1,0.337,0.01,0.05,1,0.17,0.131,0.037,1,0
0.337,0.01,0.05,1,0.17,0.131,0.037,1,0.067,0.11,0.041,0,1
0.17,0.131,0.037,1,0.067,0.11,0.041,0,0.09,0.111,0.082,1,0
0.067,0.11,0.041,0,0.09,0.111,0.082,1,0.39,0.031,0.183,0,1
0.09,0.111,0.082,1,0.39,0.031,0.183,0,0.48,0.01,0.001,1,1
0.39,0.031,0.183,0,0.48,0.01,0.001,1,0.169,0.17,0.001,1,1
0.48,0.01,0.001,1,0.169,0.17,0.001,1,0.113,0.087,0.147,1,0
0.169,0.17,0.001,1,0.113,0.087,0.147,1,0.212,0.077,0.238,0,1
0.113,0.087,0.147,1,0.212,0.077,0.238,0,0.3,0.227,0.001,1,1
0.212,0.077,0.238,0,0.3,0.227,0.001,1,0.09,0.111,0.097,1,1
0.3,0.227,0.001,1,0.09,0.111,0.097,1,0.321,0.22,0.02,1,1
0.09,0.111,0.097,1,0.321,0.22,0.02,1,0.067,0.133,0.283,1,1
0.321,0.22,0.02,1,0.067,0.133,0.283,1,0.542,0.11,0,1,0
0.067,0.133,0.283,1,0.542,0.11,0,1,0.079,0.308,0.131,0,0
0.542,0.11,0,1,0.079,0.308,0.131,0,0.06,0,0.212,0,0
0.079,0.308,0.131,0,0.06,0,0.212,0,0.141,0.217,0.223,0,1
0.06,0,0.212,0,0.141,0.217,0.223,0,0.357,0,0.101,1,1
0.141,0.217,0.223,0,0.357,0,0.101,1,0.81,0.068,0,1,1
0.357,0,0.101,1,0.81,0.068,0,1,0.388,0.543,0.059,1,1
0.81,0.068,0,1,0.388,0.543,0.059,1,0.172,0.031,0.168,1,0
0.388,0.543,0.059,1,0.172,0.031,0.168,1,0.201,0.25,0.1,0,1
0.172,0.031,0.168,1,0.201,0.25,0.1,0,0.651,0,0.06,1,0
0.201,0.25,0.1,0,0.651,0,0.06,1,0.099,0.101,0.323,0,0
0.651,0,0.06,1,0.099,0.101,0.323,0,0.23,0.099,0.484,0,1
0.099,0.101,0.323,0,0.23,0.099,0.484,0,0.373,0.06,0.008,1,0
0.23,0.099,0.484,0,0.373,0.06,0.008,1,0.419,0.431,0.21,0,0
0.373,0.06,0.008,1,0.419,0.431,0.21,0,0.28,0.09,0.38,0,1
0.419,0.431,0.21,0,0.28,0.09,0.38,0,0.093,0.011,0.107,1,0
0.28,0.09,0.38,0,0.093,0.011,0.107,1,0.227,0.01,0,0,1
0.093,0.011,0.107,1,0.227,0.01,0,0,0.019,0.031,0.021,1,0
0.227,0.01,0,0,0.019,0.031,0.021,1,0.04,0.02,0.049,0,1
0.019,0.031,0.021,1,0.04,0.02,0.049,0,0.371,0,0,1,0
0.04,0.02,0.049,0,0.371,0,0,1,0.05,0.091,0,0,0
0.371,0,0,1,0.05,0.091,0,0,0.149,0.201,0.051,0,0
0.05,0.091,0,0,0.149,0.201,0.051,0,0.844,0.17,0.099,0,0
0.149,0.201,0.051,0,0.844,0.17,0.099,0,0.131,0.3,0.28,0,1
0.844,0.17,0.099,0,0.131,0.3,0.28,0,0.35,0.1,0.131,1,1
0.131,0.3,0.28,0,0.35,0.1,0.131,1,0.52,0.001,0.103,1,1
0.35,0.1,0.131,1,0.52,0.001,0.103,1,0.248,0.199,0.253,1,1
0.52,0.001,0.103,1,0.248,0.199,0.253,1,0.09,0.2,0,1,0
0.248,0.199,0.253,1,0.09,0.2,0,1,0.089,0.05,0.09,0,1
0.09,0.2,0,1,0.089,0.05,0.09,0,0.71,0.101,0.11,1,1
0.089,0.05,0.09,0,0.71,0.101,0.11,1,0.61,0.03,0.01,1,1
0.71,0.101,0.11,1,0.61,0.03,0.01,1,0.853,0.64,0.03,1,0
0.61,0.03,0.01,1,0.853,0.64,0.03,1,0.81,0.058,0.032,0,1
0.853,0.64,0.03,1,0.81,0.058,0.032,0,0.18,0.02,0.031,1,1
0.81,0.058,0.032,0,0.18,0.02,0.031,1,0.079,0.061,0.101,1,1
0.18,0.02,0.031,1,0.079,0.061,0.101,1,0.321,0.01,0.12,1,1
0.079,0.061,0.101,1,0.321,0.01,0.12,1,0.12,0.051,0.249,1,1
